q_id;q_ch;q_id_ch;language;start_hh;start_min;G1;G2;G3;G4;G5;G6;sex;age;education;nationality;nationality2;occupation;D8;finish_hh;finish_min;character_lang;data_inter;region;type_settl;settlement;Code_inter;macroregion4;urban_rural;age_6gr;WEIGHT
1743;195;5;2;13;4;5;2;4;2;4;3;1;35;6;1;1;5;3;13;31;3;25;21;1;92;9;4;2;2;1,310284873117
1744;195;6;2;13;48;5;5;1;1;4;2;1;25;8;1;1;3;3;14;13;3;25;21;1;92;9;4;2;1;1,642485176217
1745;195;7;5;14;19;5;2;1;1;4;2;1;31;6;1;1;5;4;14;46;3;25;21;1;92;9;4;2;2;1,310284873117
1746;195;8;5;14;54;5;2;4;3;4;3;2;70;8;3;2;8;3;15;18;3;25;21;1;92;9;4;2;6;1,444715750814
1747;195;9;1;15;21;5;5;5;2;4;2;1;68;4;1;1;8;3;15;54;1;25;21;1;92;9;4;2;5;,642311494318
1748;196;1;5;8;46;1;5;3;3;4;2;2;57;8;1;1;3;2;9;23;3;23;22;6;93;14;3;1;4;,740899516417
1749;196;2;2;9;50;1;5;5;5;4;2;2;58;8;1;1;3;2;10;29;3;23;22;6;93;14;3;1;4;,740899516417
1750;196;3;6;10;41;1;5;3;3;4;3;1;69;8;1;1;3;3;11;22;2;23;22;6;93;14;3;1;5;,6777173524
1751;196;4;6;11;38;1;5;5;3;4;3;1;36;6;1;1;2;2;12;15;3;23;22;6;93;14;3;1;2;1,50468764701
1752;196;5;5;12;20;1;5;5;3;4;2;1;40;8;1;1;3;3;12;57;3;23;22;6;93;14;3;1;3;1,804031019627
1753;196;6;6;13;59;1;5;5;3;4;2;2;43;6;1;1;2;3;15;41;3;23;22;6;93;14;3;1;3;,917512875645
1754;196;7;6;16;57;1;2;3;3;4;5;2;39;6;1;1;2;2;17;35;3;23;22;6;93;14;3;1;2;,681061792601
1755;196;8;5;17;48;1;5;5;5;4;3;2;29;8;1;1;7;3;18;28;3;23;22;6;93;14;3;1;1;1,456597897983
1756;196;9;2;18;38;1;5;5;5;4;2;1;45;6;3;3;1;3;19;14;3;23;22;6;93;14;3;1;3;1,804031019627
1757;197;1;6;11;31;1;5;4;4;4;3;2;32;8;1;1;3;3;12;9;3;26;22;6;93;14;3;1;2;,681061792601
1758;197;2;5;12;17;1;1;4;4;4;3;1;64;6;1;1;8;1;12;48;3;26;22;6;93;14;3;1;5;,6777173524
1759;197;3;5;13;3;1;5;3;4;4;3;1;44;8;1;1;3;3;13;37;3;26;22;6;93;14;3;1;3;1,804031019627
1760;197;4;5;13;47;1;5;3;3;4;3;1;19;7;1;1;9;8;14;21;3;26;22;6;93;14;3;1;1;2,794449276352
1761;197;5;5;14;33;1;2;5;5;4;4;2;88;6;3;2;8;1;15;5;3;26;22;6;93;14;3;1;6;,810822766769
1762;197;6;2;15;18;1;5;4;4;1; ;2;22;6;1;1;2;3;15;52;3;26;22;6;93;14;3;1;1;1,456597897983
1763;197;7;5;16;4;1;2;2;4;4;3;2;36;8;1;1;3;3;16;40;3;26;22;6;93;14;3;1;2;,681061792601
1764;197;8;5;16;54;1;5;3;4;4;3;2;33;8;1;1;3;2;17;31;3;26;22;6;93;14;3;1;2;,681061792601
1765;197;9;5;17;44;1;1;3;4;4;3;2;42;6;1;1;2;1;18;19;3;26;22;6;93;14;3;1;3;,917512875645
1766;198;1;6;7;38;1;1;4;4;1; ;2;53;8;2;5;8;1;8;38;3;24;22;6;93;14;3;1;4;,740899516417
1767;198;2;6;8;13;1;2;4;4;4;4;2;69;6;1;1;8;1;8;49;2;24;22;6;93;14;3;1;5;,748899987582
1768;198;3;5;9;19;1;2;3;3;4;2;1;47;6;1;1;2;2;9;53;3;24;22;6;93;14;3;1;3;1,804031019627
1769;198;4;5;10;1;1;2;3;4;4;3;2;53;6;1;1;2;2;10;48;3;24;22;6;93;14;3;1;4;,740899516417
1770;198;5;5;11;16;1;5;4;4;4;2;2;21;7;1;1;9;8;11;54;3;24;22;6;93;14;3;1;1;1,456597897983
1771;198;6;2;12;12;1;5;4;4;4;1;1;31;8;1;1;6;8;12;42;3;24;22;6;93;14;3;1;2;1,50468764701
1772;198;7;6;8;7;1;1;4;4;4;3;2;55;5;1;1;1;1;8;44;2;26;22;6;93;14;3;1;4;,740899516417
1773;198;8;2;9;1;1;2;3;3;4;3;2;45;8;1;1;3;3;9;36;3;26;22;6;93;14;3;1;3;,917512875645
1774;198;9;6;9;57;1;2;3;3;4;2;1;59;6;1;1;1;1;10;31;2;26;22;6;93;14;3;1;4;1,112457661095
1775;199;1;2;11;9;2;2;2;2;2; ;1;31;8;1;1;3;3;11;51;2;21;22;4;94;9;3;1;2;1,50468764701
1776;199;2;1;12;1;3;2;2;2;3;3;1;68;2;1;1;8;2;12;17;2;21;22;4;94;9;3;1;5;,6777173524
1777;199;3;2;12;27;1;2;2;5;4;3;2;57;6;3;1;7;2;13;0;2;21;22;4;94;9;3;1;4;,740899516417
1778;199;4;2;13;8;2;2;2;2;4;2;2;55;8;1;1;3;3;13;26;2;21;22;4;94;9;3;1;4;,740899516417
1779;199;5;2;13;34;1;2;2;3;3;3;1;69;8;3;2;8;3;14;6;2;21;22;4;94;9;3;1;5;,6777173524
1780;199;6;2;14;23;1;2;2;2;4;2;2;42;7;3;2;2;3;14;36;2;21;22;4;94;9;3;1;3;,917512875645
1781;199;7;2;14;42;2;2;2;2;4;2;1;64;2;1;1;8;2;15;3;1;21;22;4;94;9;3;1;5;,6777173524
1782;199;8;2;15;6;1;2;2;2;4;2;2;38;8;2;3;10;2;15;31;3;21;22;4;94;9;3;1;2;,681061792601
1783;199;9;2;15;51;1;2;2;2;4;3;2;43;8;2;3;3;3;16;24;3;21;22;4;94;9;3;1;3;,917512875645
1784;200;1;2;13;43;4;1;4;1;4;2;2;61;6;1;1;8;2;14;8;3;23;22;1;95;2;3;2;5;,689188073341
1785;200;2;2;14;11;6;1;5;4;4;1;1;56;6;1;1;1;2;14;29;3;23;22;1;95;2;3;2;4;1,217735565318
1786;200;3;1;14;40;6;1;4;2;4;1;1;63;6;1;1;3;3;15;5;1;23;22;1;95;2;3;2;5;,920098579177
1787;200;4;2;15;16;6;1;4;5;4;2;2;50;4;1;1;1;2;15;40;3;23;22;1;95;2;3;2;4;1,230301071739
1788;200;5;2;15;48;6;1;4;3;3;3;2;75;1;1;1;8;2;16;13;3;23;22;1;95;2;3;2;6;1,026031006304
1789;200;6;2;16;24;2;1;4;4;4;2;2;46;8;1;1;3;2;16;50;3;23;22;1;95;2;3;2;3;,649060521944
1790;200;7;2;16;51;2;1;4;4;4;2;2;57;6;1;1;2;3;17;13;3;23;22;1;95;2;3;2;4;1,230301071739
1791;200;8;2;17;13;6;1;4;4;4;2;2;31;5;1;1;1;2;17;36;3;23;22;1;95;2;3;2;2;,587606810273
1792;200;9;2;17;36;6;1;4;4;4;2;2;53;8;5; ;3;2;17;55;3;23;22;1;95;2;3;2;4;1,230301071739
1793;201;1;2;15;58;6;1;4;2;4;2;2;41;4;1;1;1;1;16;21;3;26;22;1;95;2;3;2;3;,649060521944
1794;201;2;2;16;23;2;1;4;3;4;2;2;54;6;1;1;2;2;16;46;3;26;22;1;95;2;3;2;4;1,230301071739
1795;201;3;6;16;47;1;1;4;3;4;2;1;31;4;1;1;10;1;17;12;3;26;22;1;95;2;3;2;2;1,373865524838
1796;201;4;2;17;13;1;2;4;2;4;2;2;49;6;2;3;2;2;17;33;3;26;22;1;95;2;3;2;3;,649060521944
1797;201;5;2;17;34;6;5;4;4;4;2;1;30;4;1;1;1;2;17;56;3;26;22;1;95;2;3;2;2;1,373865524838
1798;201;6;2;17;57;1;1;4;5;4;2;1;49;3;1;1;1;2;18;19;3;26;22;1;95;2;3;2;3;1,19595540049
1799;201;7;2;18;21;6;1;4;4;4;2;2;36;6;1;1;2;2;18;47;3;26;22;1;95;2;3;2;2;,587606810273
1800;201;8;2;11;0;1;1;4;3;4;2;1;68;8;1;1;8;2;11;23;3;27;22;1;95;2;3;2;5;,920098579177
1801;201;9;2;11;33;6;1;5;3;4;2;2;48;6;1;1;2;2;11;52;3;27;22;1;95;2;3;2;3;,649060521944
1802;202;1;1;12;10;1;5;5;5;4;4;2;80;3;1;1;8;2;12;45;1;21;23;6;96;31;1;1;6;,575247062337
1803;202;2;1;12;53;1;2;3;2;5;5;2;54;3;1;1;2;2;13;31;1;21;23;6;96;31;1;1;4;1,144881201924
1804;202;3;1;13;42;1;2;2;2;5;5;1;78;3;1;1;8;2;14;16;1;21;23;6;96;31;1;1;6;,674438788712
1805;202;4;1;14;33;1;4;4;5;4;3;2;80;3;1;1;8;2;15;12;1;21;23;6;96;31;1;1;6;,575247062337
1806;202;5;1;15;20;1;5;5;5;4;4;2;59;6;1;1;8;2;15;58;1;21;23;6;96;31;1;1;4;1,144881201924
1807;202;6;1;16;18;6;5;5;5;4;2;2;29;5;1;1;3;3;16;57;1;21;23;6;96;31;1;1;1;1,076641267956
1808;202;7;1;17;12;6;5;5;5;4;2;2;48;3;1;1;2;3;17;53;1;21;23;6;96;31;1;1;3;,848442956803
1809;202;8;1;18;9;1;2;5;5;5;5;2;70;3;1;1;8;2;18;46;1;21;23;6;96;31;1;1;6;,575247062337
1810;202;9;1;18;57;2;2;4;2;4;2;2;35;3;1;1;3;3;19;36;1;21;23;6;96;31;1;1;2;,801907496276
1811;203;1;4;11;17;1;5;5;5;4;3;2;90;8;1;1;8;2;11;56;1;21;23;6;96;33;1;1;6;,575247062337
1812;203;2;1;12;27;2;5;5;2;4;2;1;36;8;1;1;6;3;13;8;1;21;23;6;96;33;1;1;2;,89058277919
1813;203;3;1;13;36;5;5;5;5;4;2;2;64;6;1;1;8;2;14;17;1;21;23;6;96;33;1;1;5;,781024374402
1814;203;4;1;14;30;2;2;4;4;4;3;2;27;8;1;1;2;3;15;9;1;21;23;6;96;33;1;1;1;1,076641267956
1815;203;5;1;15;23;1;4;5;5;4;4;2;60;8;3;3;8;2;16;2;3;21;23;6;96;33;1;1;5;,781024374402
1816;203;6;1;16;15;1;5;5;5;4;3;2;28;6;1;1;7;3;16;49;1;21;23;6;96;33;1;1;1;1,076641267956
1817;203;7;1;17;8;1;5;5;5;4;3;2;28;6;1;1;3;3;17;43;1;21;23;6;96;33;1;1;1;1,076641267956
1818;203;8;1;15;57;1;5;5;5;4;3;2;27;8;1;1;6;3;18;29;1;21;23;6;96;33;1;1;1;1,076641267956
1819;203;9;1;18;45;1;5;5;5;4;3;2;35;6;1;1;6;3;19;13;1;21;23;6;96;33;1;1;2;,801907496276
1820;204;1;3;11;8;5;5;5;5;5;3;1;20;6;1;1;10;8;11;41;1;23;23;6;96;31;1;1;1;1,398100013477
1821;204;2;1;11;58;6;5;5;2;4;5;2;47;3;1;1;1;2;12;33;1;23;23;6;96;31;1;1;3;,848442956803
1822;204;3;1;12;42;5;5;4;2;4;3;2;65;3;1;1;8;3;13;17;1;23;23;6;96;31;1;1;5;,781024374402
1823;204;4;1;13;31;6;5;5;5;4;5;1;66;6;1;1;8;2;14;11;1;23;23;6;96;31;1;1;5;,993330711283
1824;204;5;1;14;23;1;2;5;5;5;5;1;70;3;1;1;8;2;15;0;1;23;23;6;96;31;1;1;6;,674438788712
1825;204;6;1;15;17;5;5;2;4;4;2;2;70;3;1;1;8;2;15;55;1;23;23;6;96;31;1;1;6;,575247062337
1826;204;7;1;16;7;1;5;5;2;4;2;1;29;6;1;1;4;3;16;41;1;23;23;6;96;31;1;1;1;1,398100013477
1827;204;8;1;16;58;1;3;2;4;4;2;2;56;6;1;1;1;2;17;35;1;23;23;6;96;31;1;1;4;1,144881201924
1828;204;9;1;17;50;1;4;3;4;4;3;1;34;3;1;1;1;3;18;26;1;23;23;6;96;31;1;1;2;,89058277919
1829;205;1;1;11;47;1;5;5;5;4;3;2;36;6;1;1;3;3;12;32;1;24;23;4;97;5;1;1;2;,801907496276
1830;205;2;6;12;43;1;5;5;5;4;4;2;61;6;1;1;8;2;13;26;1;24;23;4;97;5;1;1;5;,781024374402
1831;205;3;1;13;38;2;5;5;5;4;3;2;39;6;1;1;3;3;14;17;1;24;23;4;97;5;1;1;2;,801907496276
1832;205;4;1;14;26;1;5;5;5;4;3;2;32;6;1;1;3;2;15;19;1;24;23;4;97;5;1;1;2;,801907496276
1833;205;5;4;15;28;1;5;5;5;4;3;2;63;8;1;1;8;2;16;20;1;24;23;4;97;5;1;1;5;,781024374402
1834;205;6;1;15;18;1;3;2;2;4;3;1;30;8;1;1;2;3;12;2;1;24;23;4;97;5;1;1;2;,89058277919
1835;205;7;1;12;18;1;5;5;5;4;3;2;53;6;1;1;3;2;13;1;1;24;23;4;97;5;1;1;4;1,144881201924
1836;205;8;1;13;13;1;2;3;3;4;3;2;44;6;1;1;3;3;13;51;1;24;23;4;97;5;1;1;3;,848442956803
1837;205;9;4;14;8;1;5;5;5;4;3;2;36;8;1;1;3;3;14;43;1;24;23;4;97;5;1;1;2;,801907496276
1838;206;1;1;11;8;1;4;4;3;4;3;1;58;3;1;1;1;2;11;47;1;23;23;1;98;7;1;2;4;,70609997148
1839;206;2;1;11;59;1;3;3;4;4;2;2;71;3;1;1;8;2;12;37;1;23;23;1;98;7;1;2;6;1,116828724712
1840;206;3;1;12;53;5;5;4;4;3;3;2;51;3;1;1;1;2;13;36;1;23;23;1;98;7;1;2;4;,586216236375
1841;206;4;1;13;57;1;2;3;2;3;3;1;66;3;1;1;8;2;14;38;1;23;23;1;98;7;1;2;5;,673853362753
1842;206;5;1;14;57;1;5;5;4;4;3;1;37;3;1;1;1;2;15;38;1;23;23;1;98;7;1;2;2;1,173123968762
1843;206;6;1;11;25;1;4;4;4;4;3;1;49;3;1;1;1;2;12;7;1;23;23;1;98;7;1;2;3;1,058721537333
1844;206;7;1;11;25;1;3;3;3;3;3;1;47;3;1;1;1;2;12;7;1;23;23;1;98;7;1;2;3;1,058721537333
